[34],"""METROPOLITAN WRDGC-KIRIE"""
[40],"""MWRDGC CALUMET WRP"""
[41],"""MWRDGC HANOVER PARK WRP"""
[42],"""MWRDGC LEMONT WRP"""
[43],"""MWRDGC STICKNEY WRP - SWS(N/S)"""
[44],"""MWRDGC STICKNEY WRP - WS"""
[45],"""MWRDGC TERRENCE J O'BRIEN WTR RECLAMATION PLANT"""
[46],"""MWRDGC-JOHN E. EGAN WRP"""
[51],"""O'Hare AMC"""
[60],"""SMH000072456"""
[61],"""SMH000111150"""
[62],"""SMH000116477"""
[68],"""O'Hare H&R"""
[84],"""SMH000025183"""
[85],"""SMH000017048"""
[88],"""SMH000062398"""
[89],"""SMH000079342"""
[95],"""ORD All"""
[96],"""CCJ - UNKNOWN """
[102],"""MHOL12-00024"""
[103],"""MHOL23-00259"""
[104],"""CCJ- Division 5"""
[105],"""CCJ- Division 8 (RTU)"""
[106],"""MHOL16-00342"""
[107],"""CCJ- Division 11 (Pod D)"""
[108],"""CCJ- Division 9"""
[112],"""CCJ- Division 3 -Annex"""
[113],"""CCJ- Division 11 (Pod C)"""
[114],"""CCJ- Division 2"""
[115],"""CCJ- Division 10"""
[116],"""CCJ- Division 6 (South)"""
