lineage_id,variant_name,alias_id,highest_status
B.1.617.2,Delta,AY,VOC
B.1.1.519,NA,NA,VUM
B.1.1.482.1,NA,AV.1,VUM
B.1.617.3,NA,NA,VOI
B.1.1.37,Lambda,C.37,VOI
B.1.427,Epsilon,CAL.20C,VOI
B.1.429,Epsilon,CAL.20C,VOI
B.1.616,NA,NA,VOI
B.1.621,Mu,NA,VOI
B.1.1.1.1.7,NA,C.1.2,VUM
B.1.1.7,Alpha,Q,VOC
B.1.525,Eta,NA,VOI
B.1.617.1,Kappa,NA,VOI
B.1.1.28.3,Theta,P.3,VOI
B.1.214.2,NA,NA,VUM
A.27,NA,NA,VUM
A.28,NA,NA,VUM
B.1.1.1.16,NA,C.16,VUM
B.1.351,Beta,NA,VOC
B.1.526,Iota,NA,VOI
B.1.526.1,Iota,NA,VOI
B.1.1.28.2,Zeta,P.2,VOI
B.1.620,NA,NA,VUM
B.1.1.370.1,NA,AT.1,VUM
B.1.617.2.4.2,Delta,AY.4.2,VOC
B.1.640,NA,NA,VUM
B.1.1.529,Omicron,BA,VOC
B.1.1.529.1,Omicron,BA.1,VOC
B.1.1.529.2,Omicron,BA.2,VOC
B.1.1.529.3,Omicron,BA.3,VOC
B.1.1.529.4,Omicron,BA.4,VOC
B.1.1.529.5,Omicron,BA.5,VOC
B.1.1.28,Gamma,P,VOC
B.1.1.28.1,Gamma,P.1,VOC
B.1.1.318,NA,NA,VUM
XD,NA,NA,VUM
XF,NA,NA,VUM
B.1.1.529.2.75,Omicron,BA.2.75,VOI
XAK,NA,NA,VUM
B.1.1.529.5.3.1.1.1.1.1,Omicron,BQ.1,VOC
XBB,Omicron,NA,VOI
B.1.1.529.2.30,Omicron,BA.2.30,VUM
B.1.1.529.5.2.1.7,Omicron,BF.7,VUM
XBC,NA,NA,VUM
B.1.1.529.2.75.5.1,Omicron,BN.1,VUM
B.1.1.529.2.75.3.4.1.1.1.1,Omicron,CH.1.1,VUM
XBB.1.5,Omicron,NA,VOI
XAY,NA,NA,VUM
B.1.1.529.2.3.20,Omicron,BA.2.3.20,VUM
XBB.1.16,Omicron,NA,VUM
XBB.1.18.1.1,Omicron,FE.1,VOI
B.1.1.529.2.86,Omicron,BA.2.86,VOI
B.1.1.529.2.75.3.4.1.1.1.1.1.7.1,Omicron,DV.7.1,VUM
B.1.1.529.2.87.1,Omicron,BA.2.87.1,VUM
B.1.1.529.2.86.1.1.11.1.3,Omicron,KP.3,VOI
XEC,NA,NA,VUM
B.1.1.529.2.86.1.1,Omicron,JN.1,VOI
B.1.1.529.2.86.1.1.7,Omicron,JN.1.7,VUM
B.1.1.529.2.86.1.1.11.1.2,Omicron,KP.2,VUM
B.1.1.529.2.86.1.1.11.1.3.1.1,Omicron,KP.3.1.1,VUM
B.1.1.529.2.86.1.1.18,Omicron,JN.1.18,VUM
B.1.1.529.2.86.1.1.9.2.1,Omicron,LB.1,VUM
